NOG	EC	# Members assigned to this EC	# EC assigned proteins	# NOG members
COG0164	3.1.26.4	1289	1289	2034
COG0165	4.3.2.1	1174	1174	1846
COG0166	5.3.1.9	1316	1316	2216
COG0167	1.3.98.1	1310	1453	2613
COG0169	1.1.1.25	1436	1468	2447
COG0170	2.7.1.108	73	132	610
COG0171	6.3.1.5	710	1382	2173
COG0172	6.1.1.11	1469	1469	2470
COG0173	6.1.1.12	1185	1185	1955
COG0174	6.3.1.2	2173	2203	3754
COG0175	1.8.4.8	799	1526	2498
COG0176	2.2.1.2	942	1017	2237
COG0177	4.2.99.18	1367	1371	2311
COG0180	6.1.1.2	1549	1549	2501
COG0181	2.5.1.61	1081	1085	1682
COG0182	5.3.1.23	612	615	940
COG0183	2.3.1.9	2512	3486	6445
COG0187	5.99.1.3	1447	2038	3467
COG0188	5.99.1.3	1480	2063	3452
COG0189	6.3.2.3	443	570	1697
COG0190	3.5.4.9	1345	1427	2527
COG0190	1.5.1.5	1288	1427	2527
COG0191	4.1.2.13	1189	1295	2400
COG0192	2.5.1.6	1324	1325	2278
COG0193	3.1.1.29	1180	1180	1943
COG0194	2.7.4.8	1221	1267	3296
COG0196	2.7.1.26	1158	1158	1987
COG0196	2.7.7.2	1031	1158	1987
COG0199	1.3.5.1	3	3	2475
COG0202	2.7.7.6	1200	1202	2417
COG0204	2.3.1.51	1794	2200	6036
COG0205	2.7.1.11	1062	1189	2775
COG0207	2.1.1.45	913	915	1554
COG0208	1.17.4.1	1086	1086	1821
COG0209	1.17.4.1	1515	1516	2533
COG0210	3.6.4.12	2121	2132	4343
COG0212	6.3.3.2	983	983	1975
COG0213	2.4.2.4	372	613	969
COG0214	4.-.-.-	520	520	824
COG0215	6.1.1.16	1404	1514	2427
COG0218	4.2.99.18	1	2	1721
COG0218	3.6.3.14	1	2	1721
COG0219	2.1.1.207	797	802	1437
COG0220	2.1.1.33	1012	1018	1805
COG0221	3.6.1.1	1091	1094	1777
COG0223	2.1.2.9	1257	1325	2345
COG0224	3.6.3.14	1226	1226	2018
COG0225	1.8.4.11	1457	1458	2537
COG0229	1.8.4.12	1148	1151	2200
COG0232	3.1.5.1	804	804	1295
COG0236	1.6.99.3	144	223	3135
COG0236	1.6.5.3	144	223	3135
COG0237	2.7.1.24	1164	1166	2112
COG0240	1.1.1.94	1024	1224	2187
COG0241	3.1.3.82	427	730	1316
COG0241	3.1.3.83	427	730	1316
COG0242	3.5.1.88	1661	1666	2764
COG0245	4.6.1.12	911	911	1449
COG0247	1.1.5.3	106	203	3406
COG0248	3.6.1.11	1022	1022	1980
COG0248	3.6.1.40	1022	1022	1980
COG0251	3.5.99.5	37	43	4516
COG0252	3.5.1.1	692	837	1808
COG0253	5.1.1.7	995	1000	1590
COG0258	2.7.7.7	1058	1565	3320
COG0259	1.4.3.5	674	674	1104
COG0260	3.4.11.1	1175	1335	2178
COG0262	1.5.1.3	904	905	2703
COG0263	2.7.2.11	1040	1040	1727
COG0265	3.4.21.-	1271	1426	5414
COG0266	4.2.99.18	1192	1192	1854
COG0266	3.2.2.23	961	1192	1854
COG0269	4.1.2.43	183	285	400
COG0270	2.1.1.37	1082	1152	2147
COG0271	6.3.5.3	1	1	1396
COG0272	6.5.1.2	1152	1152	1860
COG0274	4.1.2.4	855	856	1515
COG0275	2.1.1.199	1073	1079	1904
COG0276	4.99.1.1	799	799	1495
COG0278	2.7.11.1	1	1	1320
COG0279	5.3.1.28	551	552	1003
COG0280	2.3.1.8	683	1301	2293
COG0281	1.1.1.40	826	1642	2801
COG0282	2.7.2.1	981	1009	1711
COG0283	2.7.4.14	952	983	1633
COG0284	4.1.1.23	1238	1239	2014
COG0285	6.3.2.17	1303	1318	2288
COG0285	6.3.2.12	1091	1318	2288
COG0286	2.1.1.72	1029	1029	2179
COG0287	1.3.1.12	885	1021	1663
COG0288	4.2.1.1	1330	1331	2270
COG0289	1.17.1.8	1058	1070	1688
COG0293	2.1.1.166	607	928	1507
COG0294	2.5.1.15	1167	1167	2056
COG0295	3.5.4.5	796	801	1485
COG0296	2.4.1.18	860	1083	1987
COG0297	2.4.1.21	810	874	1517
COG0299	2.1.2.2	1075	1095	1780
COG0300	1.1.1.62	125	186	2274
COG0300	1.1.1.330	125	186	2274
COG0302	3.5.4.16	1042	1042	1713
COG0303	2.10.1.1	1463	1522	2591
COG0304	2.3.1.179	1564	2335	4177
COG0305	3.6.4.12	1119	1119	2075
COG0307	2.5.1.9	1053	1058	1644
COG0308	3.4.11.2	766	1281	4002
COG0311	2.6.-.-	474	474	721
COG0313	2.1.1.198	1112	1112	1931
COG0314	2.-.-.-	808	808	1241
COG0317	2.7.6.5	1017	1249	2683
COG0319	2.6.99.2	3	4	1748
COG0320	2.8.1.8	1041	1042	1615
COG0321	2.3.1.181	813	816	1311
COG0322	2.7.7.7	129	169	2055
COG0323	3.6.1.7	1	1	2304
COG0324	2.5.1.75	1214	1216	2293
COG0328	3.1.26.4	1011	1079	1920
COG0329	4.3.3.7	1861	2193	3953
COG0330	3.4.-.-	941	941	5268
COG0331	2.3.1.39	1208	1355	2383
COG0332	2.3.1.180	1533	1644	2650
COG0336	2.1.1.228	1050	1050	1687
COG0337	4.2.3.4	1128	1131	1847
COG0338	2.1.1.72	532	532	972
COG0340	6.3.4.15	1239	1241	1994
COG0343	2.4.2.29	1298	1299	2150
COG0344	2.3.1.15	828	828	1408
COG0345	1.5.1.2	1303	1303	2254
COG0346	4.4.1.5	674	1238	5528
COG0349	3.1.13.5	624	767	1271
COG0350	2.1.1.63	1453	1458	2397
COG0351	2.7.4.7	1081	1192	1896
COG0351	2.7.1.49	1080	1192	1896
COG0352	2.5.1.3	1247	1326	2112
COG0354	2.1.2.10	6	8	1107
COG0355	3.6.3.14	1063	1060	1714
COG0356	3.6.3.14	1114	1114	1816
COG0357	2.1.1.170	999	999	1638
COG0358	2.7.7.-	1077	1077	2120
COG0362	1.1.1.44	683	684	1216
COG0363	3.5.99.6	628	1112	2463
COG0364	1.1.1.49	1098	1124	1784
COG0365	6.2.1.1	1689	2569	4516
COG0367	6.3.5.4	1313	1315	2312
COG0368	2.7.8.26	569	569	862
COG0372	2.3.3.1	1506	1855	2922
COG0373	1.2.1.70	851	851	1248
COG0374	1.12.99.6	293	361	568
COG0376	1.11.1.21	410	581	1097
COG0377	1.6.5.3	971	971	1478
COG0379	2.5.1.72	843	843	1246
COG0380	2.4.1.15	739	752	1320
COG0381	5.1.3.14	770	831	1535
COG0382	2.5.1.-	986	1143	2269
COG0383	3.2.1.24	176	209	687
COG0385	2.7.8.23	1	1	1772
COG0386	1.11.1.9	1055	1087	2084
COG0389	2.7.7.7	1295	1413	3639
COG0391	2.7.8.28	159	159	1121
COG0392	2.3.2.3	133	133	1116
COG0394	3.1.3.48	922	1274	2892
COG0398	1.16.1.1	39	40	1756
COG0400	3.1.1.5	100	100	1440
COG0403	1.4.4.2	931	931	1405
COG0404	2.1.2.10	943	1230	2407
COG0405	2.3.2.2	1095	1095	2419
COG0406	5.4.2.1	1523	2127	5118
COG0407	4.1.1.37	975	1031	1635
COG0408	1.3.3.3	593	593	907
COG0410	3.6.3.30	2	4	3441
COG0411	3.6.3.25	6	10	2982
COG0412	3.1.1.45	699	700	2240
COG0413	2.1.2.11	964	964	1468
COG0414	6.3.2.1	904	904	1384
COG0415	4.1.99.3	918	918	1921
COG0416	2.3.1.15	835	835	1318
COG0417	2.7.7.7	894	894	1570
COG0418	3.5.2.3	354	354	647
COG0419	3.6.-.-	145	145	1504
COG0420	3.1.-.-	1	1	1723
COG0421	2.5.1.16	704	757	1712
COG0423	6.1.1.14	633	633	1122
COG0425	2.8.1.-	300	302	1134
COG0426	1.-.-.-	6	6	1094
COG0427	3.1.2.1	148	167	1000
COG0428	2.7.7.7	1	1	2026
COG0429	3.1.1.-	1	1	1026
COG0430	6.5.1.4	231	231	586
COG0431	1.5.1.38	310	327	2357
COG0432	3.1.-.-	1	1	1271
COG0435	2.5.1.18	1	1	896
COG0437	1.2.7.-	110	110	2224
COG0439	6.4.1.2	1102	1459	3031
COG0439	6.3.4.14	1096	1459	3031
COG0440	2.2.1.6	1041	1041	1686
COG0441	6.1.1.3	1476	1589	2803
COG0442	6.1.1.15	1497	1498	2423
COG0443	2.7.7.6	1	2	7226
COG0443	6.1.1.16	1	2	7226
COG0444	3.6.3.24	71	73	3924
COG0447	4.1.3.36	418	445	689
COG0448	2.7.7.27	850	850	1551
COG0449	2.6.1.16	1362	1374	2370
COG0450	1.11.1.15	1203	1226	2907
COG0452	4.1.1.36	1161	1323	2574
COG0452	6.3.2.5	1154	1323	2574
COG0454	2.3.1.-	420	732	7962
COG0456	2.3.1.128	895	1423	3826
COG0458	6.3.5.5	1421	1448	2454
COG0459	2.7.1.150	137	141	5192
COG0460	1.1.1.3	1298	1298	2131
COG0461	2.4.2.10	1244	1249	2034
COG0462	2.7.6.1	1731	1731	3053
COG0464	3.6.4.6	166	214	5976
COG0465	3.4.24.-	1808	1811	4740
COG0466	3.4.21.53	1176	1313	2259
COG0467	2.7.11.1	1	1	789
COG0469	2.7.1.40	1679	1679	2871
COG0470	2.7.7.7	875	875	3201
COG0472	2.7.8.13	863	1495	3260
COG0473	1.1.1.85	1118	1999	3232
COG0476	6.3.2.19	612	783	4244
COG0477	2.3.1.-	60	106	18432
COG0478	2.7.11.1	253	253	361
COG0479	1.3.99.1	1130	1274	2041
COG0480	3.6.5.-	132	132	4645
COG0482	2.8.1.-	1203	1203	2094
COG0483	3.1.3.25	1551	1665	3073
COG0484	5.3.4.1	1	1	7941
COG0486	3.6.-.-	1033	1034	1701
COG0488	3.6.3.25	67	74	7328
COG0489	2.7.10.-	209	243	4121
COG0491	3.1.2.6	681	734	7522
COG0492	1.8.1.9	2104	2110	4039
COG0493	1.4.1.14	1112	1600	3249
COG0493	1.4.1.13	1112	1600	3249
COG0494	3.6.1.-	1745	2730	10044
COG0495	6.1.1.4	1463	1463	2401
COG0496	3.1.3.5	858	859	1331
COG0498	4.2.3.1	1437	1456	2342
COG0499	3.3.1.1	887	887	1516
COG0501	3.4.24.-	1019	1382	3453
COG0502	2.8.1.6	1018	1022	1631
COG0503	2.4.2.7	1088	1477	2997
COG0504	6.3.4.2	1334	1334	2223
COG0505	6.3.5.5	1285	1311	2114
COG0506	1.5.99.8	737	761	1357
COG0506	1.5.1.12	418	761	1357
COG0507	3.1.11.5	743	897	4352
COG0509	1.20.4.1	1	1	1808
COG0510	2.7.1.82	222	343	1152
COG0512	4.1.3.27	958	1383	2260
COG0513	3.6.4.13	2980	3107	9254
COG0514	3.6.4.12	1491	1506	3359
COG0516	1.1.1.205	1424	1664	2757
COG0517	1.1.1.205	1195	2053	7785
COG0518	6.3.5.2	1540	1541	3209
COG0519	6.3.5.2	1258	1258	2050
COG0520	2.8.1.7	821	1046	3792
COG0520	4.4.1.16	816	1046	3792
COG0521	2.7.7.75	290	295	1602
COG0525	6.1.1.9	1395	1395	2320
COG0526	5.3.4.1	691	890	13718
COG0527	2.7.2.4	1676	1679	2906
COG0528	2.7.4.22	1185	1185	1883
COG0529	2.7.1.25	729	775	1238
COG0532	3.1.4.17	1	1	2484
COG0533	3.4.24.57	1179	1232	2374
COG0535	3.1.21.-	18	24	2734
COG0537	3.6.1.29	91	100	3665
COG0538	1.1.1.42	855	855	1387
COG0539	1.17.1.2	67	67	2337
COG0540	2.1.3.2	1226	1226	1989
COG0545	5.2.1.8	1565	1568	4083
COG0546	3.1.3.18	1411	1500	3741
COG0547	2.4.2.18	1088	1088	1919
COG0548	2.7.2.8	1064	1345	2076
COG0549	2.7.2.2	383	383	639
COG0550	5.99.1.2	1884	1884	3498
COG0551	5.99.1.2	683	685	1413
COG0552	2.7.11.1	1	1	2092
COG0553	3.6.4.-	859	1434	6954
COG0554	2.7.1.30	1119	1138	2076
COG0555	3.6.3.-	1	2	857
COG0555	3.6.3.29	1	2	857
COG0557	3.1.-.-	855	1182	2623
COG0558	2.7.8.5	1530	1789	3139
COG0560	3.1.3.3	826	827	2380
COG0562	5.4.99.9	271	271	526
COG0563	2.7.4.3	1613	1801	3963
COG0564	5.4.99.23	1619	3087	5986
COG0565	2.1.1.-	318	493	889
COG0566	2.1.1.185	1044	1580	4593
COG0567	1.2.4.2	874	911	1518
COG0571	3.1.26.3	1158	1283	2503
COG0572	2.7.1.48	729	875	1808
COG0574	2.7.9.2	800	1360	2394
COG0575	2.7.7.41	1228	1228	2237
COG0577	3.6.3.-	200	200	4886
COG0578	1.1.5.3	1014	1038	1657
COG0579	1.1.5.4	354	652	1453
COG0580	1.20.4.1	2	2	3642
COG0583	3.6.3.28	1	1	7202
COG0584	3.1.4.46	1586	1607	3727
COG0585	5.4.99.27	565	566	879
COG0586	3.1.3.1	12	12	2574
COG0587	2.7.7.7	1457	1458	2340
COG0588	5.4.2.1	781	786	1442
COG0589	2.7.11.1	1	2	5318
COG0589	2.7.11.-	1	2	5318
COG0590	3.5.4.33	535	858	2980
COG0591	2.7.3.-	5	5	3583
COG0592	2.7.7.7	1087	1087	2257
COG0594	3.1.26.5	741	741	1195
COG0595	3.1.-.-	486	486	1559
COG0597	3.4.23.36	995	995	1595
COG0599	4.1.1.44	609	611	1816
COG0600	1.14.14.5	1	1	3463
COG0601	2.4.2.7	1	1	5770
COG0602	4.3.99.3	342	679	1788
COG0603	6.3.4.20	722	722	1125
COG0604	1.6.5.5	925	1251	7763
COG0605	1.15.1.1	1438	1438	2306
COG0607	2.8.1.1	145	233	5436
COG0608	3.1.-.-	929	929	1787
COG0609	3.6.3.34	1	1	4122
COG0610	3.1.21.3	707	707	1318
COG0611	2.7.4.16	799	799	1155
COG0616	3.4.21.-	997	998	2050
COG0617	2.7.7.72	766	1430	2797
COG0617	3.1.3.-	766	1430	2797
COG0617	3.1.4.-	766	1430	2797
COG0618	2.7.7.72	120	122	1410
COG0618	3.1.3.-	120	122	1410
COG0618	3.1.4.-	120	122	1410
COG0619	3.6.3.-	20	10	2201
COG0620	2.1.1.14	945	946	1778
COG0621	2.-.-.-	590	623	3828
COG0623	1.3.1.9	856	882	1351
COG0623	1.3.1.10	833	882	1351
COG0625	2.5.1.18	2232	2522	6565
COG0627	3.1.2.12	365	392	1659
COG0628	6.3.2.6	1	1	4224
COG0631	3.1.3.16	1264	1364	6407
COG0632	3.6.4.12	1026	1026	1664
COG0633	4.6.1.1	31	33	2176
COG0634	2.4.2.8	889	902	1645
COG0635	1.3.99.22	1634	1655	2874
COG0636	3.6.3.14	1504	1504	2640
COG0638	3.4.25.1	1423	1423	2303
COG0639	3.1.3.16	1345	1623	5463
COG0640	4.2.3.1	9	13	5978
COG0642	2.7.13.3	1915	2494	12227
COG0643	2.7.13.3	938	941	1687
COG0644	1.5.5.1	453	757	2334
COG0645	2.7.1.12	1	1	346
COG0646	2.1.1.13	763	892	1591
COG0647	3.1.3.41	167	258	2172
COG0648	3.1.21.2	632	697	1023
COG0649	1.6.5.3	958	958	1476
COG0650	1.6.5.3	30	53	420
COG0651	1.-.-.-	178	328	1611
COG0652	5.2.1.8	2632	2632	6393
COG0656	1.1.1.274	312	569	4667
COG0659	4.2.1.1	46	47	3903
COG0661	2.6.1.-	1	2	3145
COG0661	1.14.99.22	1	2	3145
COG0662	2.7.7.13	457	507	1599
COG0662	5.3.1.8	301	507	1599
COG0663	2.3.1.-	1	1	1673
COG0664	3.1.1.5	119	155	6311
COG0668	5.4.2.1	1	1	4148
COG0669	2.7.7.3	1016	1017	1656
COG0672	4.2.1.2	1	1	748
COG0673	1.1.1.18	364	654	7318
COG0676	5.1.3.15	340	341	670
COG0678	1.11.1.15	131	140	919
COG0679	2.7.1.32	1	1	2361
COG0680	3.4.24.-	234	340	691
COG0681	3.4.21.89	1544	2141	3728
COG0682	2.-.-.-	856	856	1804
COG0683	2.7.10.-	1	1	3282
COG0684	4.1.3.17	117	162	1348
COG0685	1.5.1.20	949	1049	1921
COG0686	1.4.1.1	596	600	1003
COG0688	4.1.1.65	1049	1049	1768
COG0689	2.7.7.56	673	678	1795
COG0692	3.2.2.27	847	847	1515
COG0693	3.2.-.-	656	661	3633
COG0694	3.1.3.16	1	1	1504
COG0696	5.4.2.1	622	622	1156
COG0698	5.3.1.6	772	865	1629
COG0699	3.6.5.5	272	375	2524
COG0702	1.6.5.3	313	318	4700
COG0702	1.6.99.3	313	318	4700
COG0703	2.7.1.71	1137	1149	2029
COG0705	3.4.21.105	197	212	3087
COG0707	2.4.1.227	1043	1185	2230
COG0708	3.1.11.2	1287	1445	2524
COG0709	2.7.9.3	502	502	886
COG0710	4.2.1.10	396	396	693
COG0711	3.6.3.14	1127	1117	1810
COG0712	3.6.3.14	1116	1105	1804
COG0713	1.6.5.3	773	773	1142
COG0714	3.6.3.-	935	1070	4273
COG0715	3.6.3.-	31	37	3427
COG0716	1.8.1.2	55	55	2248
COG0717	3.5.4.13	777	846	1215
COG0720	4.2.3.12	891	891	1376
COG0720	4.1.2.50	891	891	1376
COG0721	6.3.5.7	861	861	1323
COG0721	6.3.5.6	861	861	1323
COG0722	2.5.1.54	879	879	1391
COG0723	1.10.2.2	501	658	1660
COG0724	5.2.1.8	28	28	6097
COG0729	3.4.21.-	1	1	714
COG0732	3.1.21.3	998	1002	2140
COG0735	1.11.1.6	1	1	3542
COG0736	2.7.8.7	759	819	1319
COG0737	3.1.3.5	394	668	2756
COG0738	3.2.1.52	1	1	1123
COG0739	3.4.24.-	50	68	5373
COG0740	3.4.21.92	1712	1712	3365
COG0741	3.2.1.-	1189	1191	3913
COG0742	2.1.1.171	316	347	1702
COG0743	1.1.1.267	905	905	1422
COG0744	2.4.1.-	618	874	3003
COG0744	3.4.-.-	441	874	3003
COG0745	3.1.1.61	7	14	14761
COG0746	2.7.7.77	640	640	1031
COG0747	3.1.3.26	1	1	4843
COG0747	3.1.3.2	1	1	4843
COG0749	2.7.7.7	1238	1238	2180
COG0750	3.4.24.-	957	1116	2387
COG0751	6.1.1.14	713	713	1118
COG0752	6.1.1.14	714	714	1114
COG0753	1.11.1.6	912	912	1758
COG0754	6.3.1.8	83	87	436
COG0756	3.6.1.23	978	979	1731
COG0757	4.2.1.10	877	878	1346
COG0758	5.99.1.2	1	1	1748
COG0759	3.1.26.5	1	1	1435
COG0760	5.2.1.8	2017	2017	3781
COG0761	1.17.1.2	961	961	1520
COG0763	2.4.1.182	624	624	984
COG0764	4.2.1.59	1311	1311	2327
COG0765	3.6.3.-	1	1	5145
COG0766	2.5.1.7	1195	1195	2073
COG0768	2.4.1.129	989	1063	4238
COG0769	6.3.2.13	1066	1266	2458
COG0770	6.3.2.10	1020	1061	1866
COG0771	6.3.2.9	1027	1027	1675
COG0772	2.4.1.129	4	4	3637
COG0773	6.3.2.8	1024	1322	2185
COG0774	3.5.1.108	642	643	1015
COG0775	3.2.2.9	612	848	2101
COG0776	3.6.1.11	2	2	3743
COG0776	3.6.1.40	2	2	3743
COG0777	6.4.1.2	970	859	1512
COG0780	1.7.1.13	602	602	983
COG0784	2.7.13.3	327	387	6835
COG0785	1.8.4.12	1	1	1247
COG0785	1.8.4.11	1	1	1247
COG0787	5.1.1.1	1160	1160	1922
COG0788	3.5.1.10	713	715	1039
COG0789	5.4.1.2	4	8	6162
COG0790	3.1.3.86	1	1	3070
COG0793	3.4.21.102	1232	1317	2596
COG0794	5.3.1.13	602	773	1418
COG0796	5.1.1.3	927	928	1529
COG0798	1.20.4.1	5	5	1006
COG0799	2.7.7.18	7	7	1724
COG0800	4.1.3.16	716	850	1440
COG0800	4.1.2.14	716	850	1440
COG0801	2.7.6.3	1002	1002	1702
COG0802	5.1.1.1	6	6	1662
COG0804	3.5.1.5	449	449	710
COG0807	3.5.4.25	1284	1284	2207
COG0807	4.1.99.12	896	1284	2207
COG0809	2.4.99.17	750	752	1547
COG0812	1.3.1.98	1043	1043	1712
COG0813	2.4.2.1	400	402	725
COG0814	3.2.1.84	1	1	4722
COG0815	2.3.1.-	753	753	1128
COG0816	3.1.-.-	982	982	1643
COG0817	3.1.22.4	868	868	1343
COG0818	2.7.1.107	617	617	1013
COG0819	3.5.99.2	336	408	739
COG0820	2.1.1.192	1035	1048	1804
COG0821	1.17.7.1	923	923	1465
COG0822	2.8.1.-	1	1	2115
COG0823	4.2.2.6	48	53	1207
COG0824	3.1.2.-	1493	1601	2896
COG0825	6.4.1.2	974	864	1385
COG0826	3.4.-.-	920	920	2181
COG0827	2.1.1.72	98	104	678
COG0831	3.5.1.5	437	437	691
COG0832	3.5.1.5	441	441	692
COG0834	2.7.13.3	10	19	6143
COG0835	2.7.13.3	1	1	2576
COG0836	2.7.7.13	710	712	1260
COG0837	2.7.1.2	335	335	569
COG0838	1.6.5.3	852	852	1242
COG0839	1.6.5.3	738	738	1038
COG0840	4.6.1.1	13	14	9631
COG0843	1.9.3.1	941	1254	1882
COG0846	3.5.1.-	1138	1195	2898
COG0847	2.7.7.7	1298	2049	4114
COG0852	1.6.5.3	926	926	1420
COG0853	4.1.1.11	598	598	897
COG0854	2.6.99.2	570	570	851
COG0855	2.7.4.1	749	749	1220
COG0856	2.4.2.10	49	49	67
COG0857	2.3.1.8	288	288	605
COG0858	2.4.2.14	1	1	1675
COG0859	2.4.-.-	777	780	2017
COG0860	3.5.1.28	1356	1359	2416
COG0863	2.1.1.72	339	361	1575
COG1001	3.5.4.2	362	362	577
COG1002	2.1.1.72	8	8	939
