NOG	EC	# Members assigned to this EC	# EC assigned proteins	# NOG members
COG3527	4.1.1.5	187	187	341
COG3534	3.2.1.55	226	226	743
COG3536	5.3.1.16	1	1	322
COG3540	3.1.3.1	385	385	597
COG3550	2.7.11.1	537	537	854
COG3555	1.14.11.-	103	152	504
COG3557	6.1.1.16	1	1	212
COG3569	5.99.1.2	286	286	572
COG3570	2.7.1.87	1	2	89
COG3570	2.7.1.-	1	2	89
COG3572	6.3.2.2	217	217	396
COG3579	3.4.22.40	191	195	504
COG3587	3.1.21.5	122	122	234
COG3588	4.1.2.13	404	404	796
COG3590	3.4.24.-	352	498	1924
COG3591	3.4.21.-	43	59	175
COG3594	2.3.1.-	15	15	382
COG3602	5.4.2.1	1	1	132
COG3604	3.6.1.-	1	2	979
COG3604	2.1.1.80	1	2	979
COG3605	2.7.3.9	251	251	417
COG3607	4.4.1.5	1	1	250
COG3608	3.5.1.-	35	35	650
COG3613	2.4.2.6	20	20	250
COG3614	2.7.3.-	1	1	54
COG3615	2.1.1.265	41	41	197
COG3616	4.3.1.18	40	41	754
COG3618	3.1.1.57	35	35	799
COG3620	4.2.1.22	4	4	74
COG3621	3.1.1.4	21	21	653
COG3622	5.3.1.22	438	439	689
COG3623	5.-.-.-	69	118	212
COG3624	2.7.8.37	111	111	163
COG3625	2.7.8.37	112	112	166
COG3626	2.7.8.37	133	133	200
COG3627	4.7.1.1	135	135	201
COG3630	4.1.1.3	59	59	109
COG3634	1.6.4.-	277	277	465
COG3635	5.4.2.1	258	259	401
COG3638	3.6.3.28	405	405	681
COG3639	3.6.1.63	1	1	1015
COG3642	2.7.11.1	191	246	369
COG3643	2.1.2.5	95	97	292
COG3648	1.7.3.3	131	131	265
COG3653	3.5.1.81	133	157	567
COG3655	2.1.1.37	3	3	693
COG3661	3.2.1.139	78	78	178
COG3663	3.2.2.-	227	228	779
COG3664	3.2.1.37	66	71	271
COG3665	2.1.2.10	19	20	604
COG3669	3.2.1.51	333	333	1032
COG3673	2.5.1.18	1	1	411
COG3683	2.7.4.1	1	1	196
COG3684	4.1.2.40	100	119	241
COG3687	1.14.12.7	1	1	315
COG3693	3.2.1.8	300	310	973
COG3695	2.1.1.63	5	7	643
COG3697	2.7.7.61	100	100	183
COG3700	3.1.3.2	46	46	82
COG3705	2.4.2.17	9	10	695
COG3706	4.6.1.1	3	4	695
COG3709	2.7.4.23	131	136	189
COG3710	4.2.1.75	59	60	548
COG3711	2.7.1.69	2	2	1550
COG3717	5.3.1.17	188	188	306
COG3718	5.3.1.-	225	225	334
COG3719	3.1.27.1	121	150	274
COG3721	1.3.99.22	2	2	130
COG3724	3.5.3.23	146	146	199
COG3726	2.7.7.63	1	1	152
COG3727	3.1.-.-	255	255	389
COG3730	2.7.1.69	2	2	150
COG3731	2.7.1.69	93	93	167
COG3732	2.7.1.69	87	87	166
COG3733	1.4.3.21	298	326	785
COG3734	2.7.1.58	113	113	240
COG3741	3.5.1.68	80	154	415
COG3743	1.6.5.3	37	40	228
COG3749	1.8.4.8	1	2	217
COG3749	1.1.1.-	1	2	217
COG3751	1.14.11.-	1	1	486
COG3752	1.3.1.22	1	1	467
COG3754	2.4.1.-	23	23	260
COG3757	3.5.1.28	5	10	952
COG3757	3.2.1.17	5	10	952
COG3760	6.1.1.15	22	25	391
COG3761	1.6.99.3	86	87	188
COG3764	3.4.22.70	153	153	810
COG3769	3.1.3.70	111	116	178
COG3770	3.4.24.-	153	153	238
COG3772	3.2.1.17	194	194	487
COG3773	3.5.1.28	194	194	668
COG3774	2.4.1.232	46	67	577
COG3777	4.2.1.-	1	1	263
COG3791	4.4.1.22	41	41	1571
COG3799	4.3.1.2	41	41	66
COG3804	1.17.1.8	70	70	275
COG3805	1.14.99.-	106	106	167
COG3807	6.1.1.12	1	1	182
COG3808	3.6.1.1	505	505	902
COG3812	2.7.1.29	1	1	264
COG3823	2.3.2.5	10	10	243
COG3824	2.7.2.8	1	1	287
COG3830	3.1.3.3	143	143	654
COG3832	2.5.1.18	3	3	960
COG3836	4.1.2.-	340	437	859
COG3844	3.7.1.3	187	187	555
COG3845	3.6.3.17	694	694	1188
COG3848	2.7.1.40	174	174	274
COG3850	2.7.13.3	11	12	48
COG3851	2.7.13.3	8	9	44
COG3852	2.7.13.3	384	390	714
COG3855	3.1.3.11	73	73	277
COG3857	3.6.4.12	167	167	393
COG3857	3.1.-.-	167	167	393
COG3858	3.2.1.-	18	20	481
COG3865	2.1.1.64	15	15	464
COG3865	2.1.1.222	15	15	464
COG3866	4.2.2.2	273	279	727
COG3867	3.2.1.89	153	153	309
COG3868	6.1.1.16	3	3	272
COG3884	3.1.2.14	81	81	559
COG3884	3.1.2.-	43	81	559
COG3885	1.13.11.8	2	2	129
COG3886	3.6.1.-	1	1	294
COG3890	2.7.4.2	99	99	150
COG3892	2.7.1.92	100	101	140
COG3893	3.1.11.5	2	2	254
COG3896	2.7.1.25	1	1	69
COG3897	2.1.1.-	4	4	222
COG3899	4.6.1.1	11	17	636
COG3903	2.7.11.1	18	18	571
COG3914	2.4.1.-	58	58	664
COG3916	2.3.1.184	53	53	202
COG3917	2.5.1.18	28	29	530
COG3920	2.7.3.-	24	41	1178
COG3925	2.7.1.69	52	52	65
COG3934	3.2.1.23	1	1	421
COG3938	5.1.1.4	91	154	550
COG3942	3.4.24.75	4	8	481
COG3944	2.7.10.1	6	9	398
COG3952	2.4.1.182	10	10	130
COG3954	2.7.1.19	174	174	281
COG3956	3.6.1.19	13	20	268
COG3957	4.1.2.9	115	179	572
COG3958	2.2.1.1	346	346	820
COG3959	2.2.1.1	328	328	819
COG3960	4.1.1.47	115	115	158
COG3962	3.7.1.-	222	222	334
COG3963	2.1.1.71	43	44	266
COG3963	2.1.1.17	43	44	266
COG3964	3.5.2.3	41	42	177
COG3967	1.-.-.-	71	71	234
COG3968	6.3.1.2	226	226	483
COG3970	4.2.1.-	1	1	163
COG3973	3.6.4.12	128	129	638
COG3975	3.4.-.-	2	4	404
COG3975	3.4.11.-	2	4	404
COG3976	1.3.99.1	4	4	215
COG3977	2.6.1.66	116	116	191
COG3978	2.2.1.6	102	102	148
COG3979	3.2.1.14	103	113	999
COG3980	3.6.1.57	8	12	209
COG3981	2.3.1.-	1	1	304
COG4007	1.5.99.9	3	3	27
COG4021	2.7.7.79	113	113	298
COG4032	4.1.1.79	41	49	140
COG4047	4.2.99.18	40	40	48
COG4054	2.8.4.1	53	53	53
COG4057	2.8.4.1	53	53	53
COG4058	2.8.4.1	53	53	54
COG4059	2.1.1.86	41	41	41
COG4060	2.1.1.86	41	41	41
COG4061	2.1.1.86	41	41	41
COG4062	2.1.1.86	41	41	41
COG4063	2.1.1.86	78	78	81
COG4064	2.1.1.86	36	36	36
COG4074	1.12.98.2	22	22	22
COG4076	2.1.1.-	1	1	30
COG4085	3.1.3.5	2	3	63
COG4088	2.7.1.164	15	16	207
COG4091	1.1.1.3	1	1	186
COG4094	5.2.1.12	10	10	270
COG4096	3.1.21.3	283	283	498
COG4097	1.18.1.3	1	1	235
COG4100	4.4.1.1	1	1	396
COG4106	2.1.1.144	195	195	310
COG4115	3.1.-.-	3	3	425
COG4117	1.2.1.2	1	1	239
COG4121	2.1.1.61	198	198	619
COG4121	1.5.-.-	198	198	619
COG4123	2.1.1.223	164	173	989
COG4124	3.2.1.78	27	35	353
COG4126	5.1.99.-	90	169	414
COG4130	5.3.99.-	41	41	59
COG4133	3.6.3.41	312	312	501
COG4138	3.6.3.33	64	65	103
COG4148	3.6.3.29	307	308	470
COG4149	3.6.3.29	23	23	1071
COG4152	3.6.3.41	2	2	513
COG4154	5.1.3.-	120	120	263
COG4161	3.6.3.-	79	79	120
COG4172	3.6.3.30	1	1	619
COG4175	3.6.3.32	453	453	767
COG4178	3.6.3.41	1	1	1121
COG4181	3.6.3.-	1	1	541
COG4188	3.1.1.-	2	2	593
COG4191	2.7.13.3	240	244	662
COG4192	2.7.13.3	15	15	24
COG4193	3.2.1.96	22	25	203
COG4199	3.1.-.-	72	72	147
COG4213	3.6.3.17	1	1	604
COG4218	2.1.1.86	30	30	31
COG4221	1.1.1.-	146	285	2056
COG4222	3.1.4.46	13	17	484
COG4223	4.2.1.75	1	1	54
COG4225	3.2.1.172	174	174	565
COG4229	3.1.3.77	195	195	351
COG4230	1.5.1.12	327	329	532
COG4230	1.5.99.8	318	329	532
COG4231	1.2.7.8	540	540	777
COG4232	1.8.1.8	324	324	907
COG4233	1.8.1.8	2	2	323
COG4237	1.-.-.-	82	82	116
COG4240	2.7.1.31	132	132	248
COG4242	3.4.15.6	47	49	231
COG4247	3.1.3.8	63	63	172
COG4249	3.4.22.-	38	38	602
COG4250	2.7.3.-	3	3	94
COG4251	2.7.3.-	12	14	391
COG4252	4.6.1.1	106	113	315
COG4261	2.3.1.-	3	3	239
COG4262	2.5.1.16	106	106	193
COG4263	1.7.2.4	102	102	155
COG4264	6.3.2.39	23	46	544
COG4266	3.5.3.4	133	133	305
COG4281	5.3.3.8	31	31	851
COG4282	2.4.1.34	1	1	117
COG4285	6.3.4.9	49	49	130
COG4285	6.3.4.11	49	49	130
COG4285	6.3.4.15	49	49	130
COG4285	6.3.4.10	49	49	130
COG4290	3.1.27.3	36	36	156
COG4294	3.-.-.-	116	116	205
COG4299	2.3.1.78	69	70	442
COG4301	3.5.4.-	1	1	493
COG4302	4.3.1.7	217	217	297
COG4303	4.3.1.7	225	225	310
COG4305	3.2.1.4	1	1	152
COG4308	3.3.2.8	47	47	65
COG4311	1.5.3.1	161	161	278
COG4319	5.3.3.1	1	1	148
COG4359	3.1.3.87	48	48	245
COG4360	2.7.7.53	114	114	198
COG4362	1.14.13.39	148	148	274
COG4370	2.7.1.130	3	3	123
COG4401	5.4.99.5	175	178	249
COG4409	3.2.1.18	82	83	381
COG4412	3.4.24.-	72	81	231
COG4445	1.-.-.-	85	85	320
COG4448	3.5.1.1	37	37	324
COG4451	4.1.1.39	153	153	316
COG4464	3.1.3.48	172	172	445
COG4468	2.7.7.12	133	133	293
COG4492	5.4.99.5	111	111	220
COG4502	3.1.3.-	1	2	68
COG4502	3.1.3.5	1	2	68
COG4509	3.4.22.70	80	80	314
COG4525	3.6.3.36	101	101	210
COG4529	3.1.2.6	2	4	246
COG4529	4.1.1.20	2	4	246
COG4542	2.7.1.177	46	46	115
COG4547	6.6.1.2	122	122	205
COG4551	3.1.3.48	1	1	76
COG4552	2.3.1.-	2	2	431
COG4553	3.1.1.75	132	134	301
COG4555	3.6.3.41	3	3	200
COG4559	3.6.3.34	237	238	367
COG4564	2.7.13.3	2	2	321
COG4566	3.1.1.61	3	3	750
COG4566	2.1.1.80	3	3	750
COG4569	1.2.1.10	175	175	236
COG4570	3.1.22.4	28	28	163
COG4571	3.4.23.49	10	20	46
COG4579	3.1.3.-	144	144	206
COG4579	2.7.11.5	144	144	206
COG4581	3.6.4.-	225	387	1246
COG4583	1.5.3.1	141	141	217
COG4585	2.7.13.3	350	371	2079
COG4589	2.7.7.41	105	105	181
COG4598	3.6.3.21	161	243	377
COG4604	3.6.3.34	174	174	317
COG4608	3.6.3.24	14	16	3175
COG4618	3.6.3.-	1	1	358
COG4624	1.6.5.3	102	126	1217
COG4625	3.4.21.-	29	32	429
COG4630	1.17.1.4	277	335	875
COG4631	1.17.1.4	278	333	917
COG4635	1.3.5.3	198	198	292
COG4639	3.1.3.16	10	11	237
COG4642	2.7.1.68	59	59	2130
COG4647	6.4.1.6	27	27	35
COG4658	1.6.5.-	5	5	602
COG4667	3.1.-.-	1	1	588
COG4668	2.7.1.69	402	308	564
COG4670	2.8.3.1	93	97	288
COG4674	3.6.3.17	1	1	470
COG4677	3.1.1.11	225	228	1505
COG4678	3.2.1.17	5	5	83
COG4689	4.1.1.4	71	71	93
COG4690	3.4.-.-	79	81	797
COG4692	3.2.1.-	1	1	201
COG4706	4.2.1.-	1	1	187
COG4724	3.2.1.96	70	70	271
COG4725	2.1.1.62	63	64	312
COG4750	5.4.2.9	5	5	196
COG4752	2.1.1.228	20	20	117
COG4753	2.3.3.13	2	3	1979
COG4769	2.5.1.30	107	107	248
COG4775	4.2.1.59	1	1	1526
COG4776	3.1.13.1	98	99	160
COG4778	2.7.8.37	132	132	197
COG4781	3.1.4.46	45	45	103
COG4783	3.4.24.-	6	8	707
COG4784	3.4.24.-	3	3	165
COG4802	1.18.-.-	20	20	156
COG4805	3.4.21.26	1	1	718
COG4806	5.3.1.14	103	103	168
COG4809	2.7.1.147	55	55	58
COG4809	2.7.1.146	55	55	58
COG4812	2.5.1.17	40	40	64
COG4822	4.99.1.3	126	126	293
COG4829	5.3.3.4	96	98	132
COG4833	3.2.1.101	1	1	234
COG4845	2.3.1.28	72	72	217
COG4857	2.7.1.100	141	141	231
COG4865	5.4.99.1	14	14	80
COG4869	2.3.1.222	17	21	266
COG4880	3.1.-.-	1	1	120
COG4882	3.4.17.21	1	1	34
COG4909	4.2.1.28	40	43	77
COG4910	4.2.1.28	40	42	77
COG4923	3.6.1.-	1	1	72
COG4927	2.3.1.164	1	1	108
COG4930	3.4.21.53	71	71	129
COG4933	3.6.3.14	2	2	104
COG4934	3.4.14.9	96	106	581
COG4937	1.3.1.12	29	29	29
COG4946	3.4.21.-	78	78	148
COG4952	5.3.1.5	23	40	163
COG4953	2.4.1.-	269	273	418
COG4955	3.6.1.-	1	1	99
COG4960	3.4.23.43	84	84	111
COG4976	2.1.1.64	1	1	148
COG4976	2.1.1.222	1	1	148
COG4981	2.3.1.86	64	96	227
COG4982	2.3.1.86	71	102	219
COG4989	1.1.1.-	3	4	443
COG4992	2.6.1.11	1026	1586	2780
COG4999	2.7.13.3	34	34	70
COG5000	2.7.13.3	178	184	710
COG5001	3.1.1.61	7	7	624
COG5001	2.1.1.80	7	7	624
COG5002	2.7.13.3	14	17	235
COG5009	2.4.1.-	614	614	1060
COG5009	3.4.-.-	613	614	1060
COG5012	2.1.1.13	18	29	583
COG5013	1.7.99.4	256	257	393
COG5016	4.1.1.3	215	396	697
COG5017	2.4.1.141	116	116	304
COG5018	3.1.-.-	6	12	410
COG5020	2.4.1.-	205	206	370
COG5021	6.3.2.19	1252	1252	3999
COG5022	2.7.11.1	64	108	4528
COG5024	3.2.2.-	11	12	1856
COG5026	2.7.1.1	301	320	961
COG5027	2.3.1.48	363	363	850
COG5030	2.7.1.40	1	1	1044
COG5036	3.6.4.12	1	1	269
COG5038	4.1.1.65	1	1	1086
COG5040	2.4.2.30	1	1	1095
COG5048	3.4.24.85	1	2	35396
COG5048	3.6.4.13	1	2	35396
COG5049	3.1.13.-	321	321	609
COG5050	2.7.8.1	145	170	572
COG5053	2.4.1.12	1	1	858
COG5055	3.4.16.6	1	1	194
COG5056	2.3.1.26	133	229	509
COG5057	5.2.1.8	37	37	348
COG5058	2.3.1.24	280	280	774
COG5059	3.6.4.4	2	2	7141
COG5061	1.8.4.-	86	88	322
COG5062	2.3.-.-	111	111	226
COG5070	2.1.1.-	1	1	542
COG5072	2.7.11.1	93	93	201
COG5075	3.-.-.-	107	107	197
COG5076	2.3.1.48	264	389	3125
COG5077	3.1.2.15	562	562	1595
COG5078	6.3.2.19	1859	1866	4169
COG5080	1.1.2.4	1	1	572
COG5083	3.1.3.4	175	175	974
COG5084	6.3.2.19	15	15	658
COG5090	3.6.4.12	133	133	251
COG5092	2.3.1.97	163	163	336
COG5094	2.7.4.3	18	18	246
COG5105	3.1.3.48	123	123	358
COG5108	2.7.7.6	163	163	342
COG5113	6.3.2.19	165	165	416
COG5118	6.4.1.4	1	2	214
COG5118	2.7.1.23	1	2	214
COG5119	1.8.98.2	45	45	142
COG5126	3.1.2.15	5	10	7833
COG5127	3.6.3.14	161	161	332
COG5128	6.3.2.19	1	2	237
COG5128	2.7.7.7	1	2	237
COG5135	1.4.3.5	1	1	105
COG5141	1.14.11.-	65	66	1188
COG5143	4.99.1.1	1	1	1626
COG5144	6.1.1.9	1	1	250
COG5146	2.7.1.33	231	231	503
COG5147	3.1.11.2	1	1	5168
COG5148	2.7.1.68	6	6	278
COG5155	3.4.22.49	112	112	247
COG5158	1.-.-.-	2	2	1372
COG5160	3.4.22.68	307	307	1054
COG5167	2.1.1.221	1	1	163
COG5169	3.1.3.5	1	1	1383
COG5171	3.6.5.2	1	1	498
COG5175	6.3.2.19	138	138	337
COG5183	6.3.2.19	337	337	1417
COG5184	6.3.2.19	135	137	3136
COG5186	2.7.7.19	229	229	511
COG5190	3.1.3.16	323	323	1973
COG5198	4.2.1.134	173	173	501
COG5199	2.7.11.25	1	1	567
COG5202	2.3.1.-	224	224	572
COG5202	2.3.1.51	134	224	572
COG5202	2.3.1.23	121	224	572
COG5206	2.6.-.-	86	157	524
COG5207	3.1.2.15	176	176	331
COG5208	2.7.7.7	3	3	558
COG5210	3.1.2.15	3	6	3241
COG5211	3.1.3.16	133	133	271
COG5212	3.1.4.17	41	41	120
COG5216	1.2.4.1	1	1	222
COG5219	1.14.19.1	1	1	247
COG5222	6.3.2.19	60	60	324
COG5226	2.7.7.50	148	188	429
COG5231	3.6.3.14	158	158	279
COG5239	3.1.-.-	29	29	816
COG5241	3.1.-.-	1	1	284
COG5243	6.3.2.19	261	261	702
COG5245	3.4.22.-	2	4	2562
COG5245	3.6.1.3	2	4	2562
COG5253	2.7.1.68	295	515	1467
COG5257	2.1.1.43	5	5	418
COG5259	2.5.1.18	1	1	430
COG5260	2.7.7.7	138	241	1321
COG5263	2.4.1.5	9	17	636
COG5270	1.8.4.8	71	71	74
COG5271	6.6.1.2	1	1	450
COG5272	1.1.1.102	1	1	2822
COG5273	2.3.1.-	58	60	3527
COG5278	2.7.3.-	3	4	108
COG5279	3.5.99.7	1	1	448
COG5285	1.14.11.18	49	50	519
COG5297	3.2.1.4	83	84	326
COG5305	2.4.1.-	21	21	139
COG5309	3.2.1.58	39	41	504
COG5310	2.5.1.44	73	73	105
COG5322	1.2.1.80	25	27	122
COG5324	6.5.1.3	54	55	106
COG5329	3.1.3.36	53	62	1190
COG5341	2.5.1.30	1	1	188
COG5347	2.4.2.10	1	2	2484
COG5347	4.1.1.23	1	2	2484
COG5347	3.4.19.5	1	2	2484
COG5361	4.2.1.-	1	2	433
COG5361	3.1.1.-	1	2	433
COG5398	1.14.99.3	210	210	435
COG5405	3.4.25.2	670	670	982
COG5406	3.4.11.9	1	1	288
COG5411	3.1.3.36	165	277	1544
COG5418	2.7.1.24	1	1	61
COG5424	1.3.3.11	178	178	292
COG5432	6.3.2.19	79	79	153
COG5434	3.2.1.15	57	73	1781
COG5459	2.1.1.-	2	4	312
COG5491	6.3.2.19	1	1	920
COG5492	3.5.1.28	1	2	302
COG5492	3.2.1.8	1	2	302
COG5498	3.2.1.4	2	4	410
COG5507	3.1.3.1	1	1	172
COG5520	3.2.1.45	165	188	621
COG5531	5.99.1.2	23	23	809
COG5533	3.1.2.15	1	1	5
COG5536	2.5.1.60	131	258	524
COG5537	2.1.1.-	1	1	396
COG5539	3.1.2.-	129	129	494
COG5540	3.6.5.-	1	1	176
COG5542	2.4.1.-	109	109	283
COG5543	2.4.1.198	1	1	218
COG5549	3.4.24.-	1	1	156
COG5557	1.2.7.-	149	149	386
COG5560	3.1.2.15	457	457	1209
COG5574	6.3.2.19	5	5	259
COG5585	2.4.2.-	2	2	165
COG5593	3.6.4.13	1	1	241
COG5596	3.6.3.51	6	6	886
COG5597	2.4.1.186	58	58	774
COG5598	2.1.1.250	138	139	323
COG5599	3.1.3.48	1041	1041	3796
COG5616	4.6.1.1	6	12	360
COG5623	2.7.1.78	146	146	278
COG5630	2.3.1.1	56	70	101
COG5632	3.5.1.28	68	68	248
COG5635	2.7.1.-	1	1	326
COG5663	2.4.2.10	1	1	81
ENOG410XNMH	2.7.13.3	2674	4153	36429
ENOG410XNMK	3.2.1.50	61	61	260
ENOG410XNMN	2.7.3.-	2	2	11
ENOG410XNMV	3.1.3.7	51	89	192
ENOG410XNMY	1.3.8.4	104	185	491
ENOG410XNN0	4.6.1.1	7	7	14
ENOG410XNN7	6.3.2.19	39	39	78
ENOG410XNNC	3.6.3.8	225	230	1006
ENOG410XNNT	3.6.3.20	2	3	59
ENOG410XNNW	1.1.1.100	63	122	763
ENOG410XNP1	1.2.1.18	129	157	347
ENOG410XNP1	1.2.1.27	129	157	347
ENOG410XNP5	6.3.2.19	22	22	49
ENOG410XNP8	2.7.11.1	1	1	536
ENOG410XNPA	6.3.2.19	1	1	56
ENOG410XNPH	2.7.11.1	624	1039	3313
ENOG410XNPJ	2.3.1.165	5	7	267
ENOG410XNPM	2.4.1.223	42	42	108
ENOG410XNPM	2.4.1.224	42	42	108
ENOG410XNPP	2.7.11.1	242	242	508
ENOG410XNPY	2.7.11.1	122	122	296
ENOG410XNPZ	1.14.13.-	39	51	627
ENOG410XNQ0	2.7.11.1	304	433	1704
ENOG410XNQ8	3.1.3.1	2	3	135
ENOG410XNQ9	3.4.21.-	1	1	79
ENOG410XNQK	6.3.5.3	1	1	9465
ENOG410XNQP	2.7.11.1	139	140	377
ENOG410XNR4	1.-.-.-	1	1	51
ENOG410XNR9	3.1.3.16	52	52	145
ENOG410XNRB	2.7.11.1	236	237	736
ENOG410XNRM	2.7.11.1	1	1	265
ENOG410XNRN	3.4.22.-	1	1	3
ENOG410XNRV	3.6.3.31	3	3	5
ENOG410XNRX	2.7.11.17	101	101	382
ENOG410XNSA	2.7.13.3	5	5	17
ENOG410XNSB	3.2.1.58	10	10	50
ENOG410XNSC	2.7.8.27	61	61	401
ENOG410XNSN	2.7.4.24	80	80	365
ENOG410XNSN	2.7.4.21	80	80	365
ENOG410XNSP	6.2.1.-	6	7	22
ENOG410XNSR	2.7.10.1	110	110	338
ENOG410XNSW	2.7.11.22	142	144	383
ENOG410XNT1	1.-.-.-	2	2	176
ENOG410XNT7	3.6.4.13	269	271	503
ENOG410XNTA	3.2.1.4	30	31	195
ENOG410XNTI	3.6.4.13	248	248	675
ENOG410XNTK	3.4.19.-	91	91	173
ENOG410XNTS	1.3.8.7	272	287	687
ENOG410XNTU	6.3.2.19	49	49	111
ENOG410XNU1	1.-.-.-	1	1	171
ENOG410XNUT	3.6.4.12	128	165	344
ENOG410XNUV	2.7.3.-	1	1	14
ENOG410XNVG	3.6.4.13	139	140	301
ENOG410XNVJ	6.3.2.19	1	1	112
ENOG410XNVZ	1.3.99.-	100	126	585
ENOG410XNW1	1.1.1.100	1383	2381	4742
ENOG410XNWA	3.2.1.55	1	2	97
ENOG410XNWA	3.2.1.8	1	2	97
ENOG410XNWC	6.-.-.-	140	140	397
ENOG410XNWD	3.6.3.17	8	8	26
ENOG410XNWE	3.2.1.40	53	53	371
ENOG410XNWI	3.1.3.56	44	44	114
ENOG410XNXD	1.5.3.1	5	6	162
ENOG410XNXE	3.4.24.78	101	101	181
ENOG410XNXF	2.7.3.-	1	1	10
ENOG410XNXM	6.3.2.19	1	1	225
ENOG410XNXP	2.7.11.1	155	155	346
ENOG410XNXR	5.5.1.13	14	15	44
ENOG410XNXS	3.2.1.2	10	10	70
ENOG410XNXU	3.4.19.1	1	1	248
ENOG410XNXV	1.1.1.-	1	1	31
ENOG410XNXW	1.5.3.1	5	5	221
ENOG410XNY0	2.7.11.24	644	655	1877
ENOG410XNYF	6.2.1.-	38	38	81
ENOG410XNYM	2.4.1.175	121	159	424
ENOG410XNYW	3.1.2.15	50	53	284
ENOG410XNYX	1.4.3.4	1	1	14
ENOG410XNZ4	4.2.1.17	44	44	76
ENOG410XNZ9	2.3.1.7	195	381	922
ENOG410XNZB	2.4.1.-	8	16	305
ENOG410XNZD	3.2.1.20	49	49	323
ENOG410XNZM	2.1.1.125	139	139	248
ENOG410XNZY	1.11.1.-	91	120	1780
ENOG410XNZZ	3.4.24.71	1	1	403
ENOG410XP01	3.4.25.1	150	150	270
ENOG410XP03	3.4.24.82	2	2	3
ENOG410XP04	3.2.1.113	377	377	901
ENOG410XP06	2.7.1.67	66	66	464
ENOG410XP08	2.1.1.57	55	55	130
ENOG410XP0A	3.6.4.12	150	168	323
ENOG410XP0B	3.4.22.-	225	283	1578
ENOG410XP0F	3.1.-.-	4	6	261
ENOG410XP0H	3.2.1.4	3	3	45
ENOG410XP0P	3.4.19.12	202	202	379
ENOG410XP0T	1.14.11.-	46	46	270
ENOG410XP0Z	5.-.-.-	59	59	156
ENOG410XP16	1.1.1.-	5	5	102
ENOG410XP18	2.4.2.30	198	243	673
ENOG410XP1T	6.3.2.19	38	38	138
ENOG410XP21	3.4.25.1	184	184	336
ENOG410XP26	1.14.13.25	23	23	30
ENOG410XP28	2.7.4.14	3	3	272
ENOG410XP2A	2.7.13.3	238	238	333
ENOG410XP2E	1.3.8.7	2	2	2
ENOG410XP2J	2.1.1.-	1	1	52
ENOG410XP34	1.1.1.-	1	1	1062
ENOG410XP3G	2.3.1.187	93	93	115
ENOG410XP3K	2.7.11.17	1	2	2445
ENOG410XP3K	2.7.11.1	1	2	2445
ENOG410XP3U	2.3.1.135	1	1	352
ENOG410XP40	3.1.3.74	1	1	9
ENOG410XP42	2.7.1.36	27	27	44
ENOG410XP44	1.11.1.10	151	153	353
ENOG410XP4B	3.1.3.16	23	23	178
ENOG410XP4H	2.4.1.-	1	2	47
ENOG410XP4H	2.7.1.33	1	2	47
ENOG410XP4K	2.7.11.1	221	269	845
ENOG410XP4Z	3.6.4.-	132	132	756
ENOG410XP56	2.7.1.162	1	1	369
ENOG410XP57	2.4.1.-	4	6	319
ENOG410XP59	3.6.3.17	26	26	34
ENOG410XP5B	3.6.3.21	1	1	5
ENOG410XP5G	2.1.1.41	109	191	769
ENOG410XP5X	3.7.1.-	1	1	12
ENOG410XP64	1.3.8.7	6	9	42
ENOG410XP69	3.5.1.52	104	104	229
ENOG410XP6D	2.4.1.259	118	118	232
ENOG410XP6D	2.4.1.261	118	118	232
ENOG410XP6E	3.6.4.-	1	1	285
ENOG410XP6I	3.1.2.15	44	44	138
ENOG410XP73	3.-.-.-	5	5	156
ENOG410XP74	3.1.21.5	26	26	65
ENOG410XP79	2.4.1.135	110	110	461
ENOG410XP7B	2.6.-.-	1	1	200
ENOG410XP7H	2.4.1.211	22	27	82
ENOG410XP7N	2.7.7.7	140	140	241
ENOG410XP8C	6.3.2.19	96	96	267
ENOG410XP8F	2.7.11.1	93	93	237
ENOG410XP8P	1.3.8.7	47	47	98
ENOG410XP8T	3.1.2.15	292	292	698
ENOG410XP93	1.1.99.-	1	1	6
ENOG410XP96	3.1.2.15	146	146	345
ENOG410XP9B	3.1.4.17	61	61	164
ENOG410XP9E	3.1.11.5	1	1	945
ENOG410XP9G	2.7.11.1	178	214	1141
ENOG410XP9J	2.7.11.1	2	3	11
ENOG410XP9R	3.5.2.15	28	28	33
ENOG410XP9Y	6.3.2.19	160	160	1335
ENOG410XPA7	3.6.3.14	22	22	68
ENOG410XPAX	2.7.11.1	115	115	269
ENOG410XPB1	2.7.8.-	1	1	118
ENOG410XPBB	2.7.11.22	136	193	535
ENOG410XPBE	2.7.3.-	5	7	157
ENOG410XPBF	1.-.-.-	1	1	154
ENOG410XPBJ	3.2.-.-	9	9	113
ENOG410XPBQ	3.2.1.169	41	67	262
ENOG410XPBQ	2.3.1.48	41	67	262
ENOG410XPBW	1.14.-.-	1	1	160
ENOG410XPC2	2.7.11.1	3	3	34
ENOG410XPC8	6.3.2.19	40	40	977
ENOG410XPC9	3.2.1.4	9	12	458
ENOG410XPCA	2.7.11.1	59	59	355
ENOG410XPCF	1.21.4.2	32	32	112
ENOG410XPCN	6.3.2.19	46	46	525
ENOG410XPCS	3.1.1.24	1	2	120
ENOG410XPCS	3.1.1.-	1	2	120
ENOG410XPCV	1.2.1.4	221	221	337
ENOG410XPD8	6.2.1.-	1	1	222
