contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_62_length_643_cov_19.161741	5.890594	7.695662	6.591872	0	0	0	9.516122	0	7.423553	3.346422	0.701262	1.542777	8.534359	9.382885	5.023840	6.026650
NODE_52_length_81425_cov_8.175524.4	1.979100	4.257800	2.948500	0	0	0	3.917700	0	4.056400	0.818300	0.290000	1.246400	3.368400	4.653800	2.628900	1.399700
NODE_52_length_81425_cov_8.175524.3	1.756600	4.035000	2.637500	0	0	0	3.667400	0	4.658700	0.898100	0.340000	1.230000	4.141400	4.562500	2.776800	1.988700
NODE_52_length_81425_cov_8.175524.2	1.866700	4.705600	2.827000	0	0	0	3.786100	0	4.128700	0.788600	0.378900	1.429600	3.732800	5.013800	3.166000	1.838000
NODE_52_length_81425_cov_8.175524.1	1.777800	3.978500	2.756000	0	0	0	3.985700	0	4.385600	1.240000	0.359100	1.109300	4.094800	4.757000	2.725000	1.599300
NODE_52_length_81425_cov_8.175524.0	1.719400	4.008600	2.609100	0	0	0	3.878400	0	3.987900	1.168500	0.389500	1.397100	4.216100	4.936100	2.778200	1.759000
NODE_392_length_91_cov_13.153846	0.621118	0	0	0	1.863354	0	0	0	0	1.242236	0	0.621118	0	0	0.621118	0
NODE_417_length_71_cov_15.619719	2.659575	4.177310	2.028370	0	0	0	4.893617	0	2.765957	1.333334	0.673759	2.127660	2.666669	3.468087	0.702128	2.631206
NODE_494_length_527700_cov_6.812331.50	1.679400	0.110000	0.880000	0.120000	5.734400	5.379500	0.290000	1.837300	0	2.811800	4.994900	1.418000	0	0.358600	0.180000	0
NODE_494_length_527700_cov_6.812331.51	1.552447	0.078784	0.708835	0.089983	5.854253	5.050139	0.342094	2.187790	0	2.525380	5.225889	1.512436	0	0.422060	0.133596	0
NODE_494_length_527700_cov_6.812331.32	1.650000	0.020000	0.600000	0	6.004200	5.906000	0.369500	2.097200	0	2.814500	5.424900	1.559600	0	0.349400	0.178700	0
NODE_64_length_358694_cov_6.830965.19	1.635100	0.060000	0.580000	0.030000	6.318800	6.265300	0.369600	2.009200	0	3.436900	6.042100	1.478900	0	0.280000	0.180000	0
NODE_64_length_358694_cov_6.830965.18	1.580000	0.100000	0.879500	0.040000	5.805400	6.187600	0.189700	2.006600	0	2.846000	5.437100	1.679700	0	0.198500	0.280000	0
NODE_64_length_358694_cov_6.830965.15	1.358700	0.130000	0.750000	0.060000	5.223500	5.485500	0.300000	1.939500	0	2.867400	5.237400	1.550000	0	0.240000	0.160000	0
NODE_64_length_358694_cov_6.830965.14	1.569200	0.130000	0.659200	0.040000	6.052700	5.955400	0.419500	1.898600	0	2.987700	4.848000	1.277900	0	0.250000	0.180000	0
NODE_64_length_358694_cov_6.830965.17	1.778900	0.060000	0.800000	0.040000	5.618300	5.826000	0.390000	1.958100	0	2.228700	5.538100	1.716200	0	0.400000	0.160000	0
NODE_64_length_358694_cov_6.830965.16	1.808700	0.080000	0.570000	0.110000	6.305600	5.938100	0.360000	2.096600	0	2.588200	5.006200	1.659900	0	0.250000	0.080000	0
NODE_64_length_358694_cov_6.830965.11	1.695800	0.100000	0.787800	0	6.281700	5.945200	0.368500	1.858800	0	2.339300	5.286000	1.317500	0	0.320000	0.330000	0
NODE_64_length_358694_cov_6.830965.10	1.595800	0.060000	0.857800	0.070000	6.724900	6.023100	0.340000	2.228200	0	2.798500	5.863600	1.668500	0	0.389400	0.140000	0
NODE_64_length_358694_cov_6.830965.13	1.900000	0.049700	0.868700	0.050000	6.155500	5.735800	0.498700	1.707600	0.010000	2.657000	5.627500	1.369000	0.009800	0.360000	0.179800	0.030000
NODE_64_length_358694_cov_6.830965.12	1.417700	0.020000	0.769200	0.019900	6.007200	5.466000	0.450000	1.997500	0	2.676500	4.682600	1.639400	0	0.399900	0.150000	0
NODE_36_length_8116_cov_8.142927	1.893476	4.259594	2.648178	0	0	0	3.626681	0	4.322257	1.012460	0.242975	0.952846	4.480089	4.615808	3.224898	1.439409
NODE_59_length_284_cov_4.295774	0.847459	1.412430	1.412429	0	0	0	0.564972	0	0.564972	4.511298	0.822034	0	0.564971	0	0	3.364409
NODE_113_length_286_cov_12.695805	1.963482	2.241571	3.084266	0	0	0	2.528089	0	2.525277	1.120788	0	1.120787	1.117979	3.362363	1.957863	1.398876
NODE_92_length_292_cov_10.047945	2.187845	1.381215	3.276243	0	0	0	3.016573	0	3.038676	1.381215	0	1.381215	2.486186	2.715470	0.828728	2.486188
NODE_311_length_187_cov_4.668449	0.389105	1.529184	0.389105	0	0	0	1.167314	0	0.389105	2.334634	0.389105	0.389105	1.556421	0	1.556420	2.334632
NODE_261_length_321461_cov_8.199894.17	2.038500	4.177200	3.126800	0	0	0	4.036800	0	4.615500	1.009900	0.359900	1.269100	4.596900	4.678200	2.896100	1.600000
NODE_197_length_151_cov_4.337749	0.452489	0.438914	0.904977	0.904978	0	0	0	2.714929	0	1.809954	0	1.809952	0	0	1.809954	0.452489
NODE_216_length_305319_cov_6.901228.7	1.259400	0.080000	0.870000	0.070000	5.715600	5.997000	0.559900	2.079100	0	2.757900	5.313100	1.628400	0	0.439900	0.140000	0
NODE_216_length_305319_cov_6.901228.4	1.589300	0.200000	0.810000	0.050000	6.025300	6.043000	0.349300	2.160000	0	2.668800	4.986700	1.388200	0	0.320000	0.100000	0
NODE_216_length_305319_cov_6.901228.5	1.446300	0.080000	0.697000	0.090000	5.358500	5.302800	0.490000	1.916400	0	2.342900	4.782000	1.476900	0	0.390000	0.300000	0
NODE_216_length_305319_cov_6.901228.2	1.758200	0.080000	0.940000	0.060000	6.859500	5.715800	0.260000	1.847900	0	2.966900	5.617400	1.639400	0	0.369100	0.300000	0
NODE_216_length_305319_cov_6.901228.3	1.448600	0.070000	0.857200	0	6.745600	6.816500	0.310000	1.958900	0	3.169500	5.644900	1.510000	0	0.449200	0.190000	0
NODE_216_length_305319_cov_6.901228.0	1.639800	0.060000	0.959900	0.160000	6.647800	5.584600	0.460000	2.159600	0	3.317600	5.610000	1.359000	0	0.300000	0.180000	0.010000
NODE_216_length_305319_cov_6.901228.1	1.747600	0.099900	0.749700	0.080000	6.393900	5.556100	0.448200	2.397900	0	3.036000	5.445100	1.587700	0	0.490000	0.270000	0
NODE_239_length_121_cov_19.338842	0.523560	0.523560	1.570680	0	0	0	1.047120	0	1.570681	0	0	0	0	3.664924	0	1.047120
NODE_216_length_305319_cov_6.901228.8	1.889100	0.130000	0.818500	0.110000	6.506900	6.362200	0.219800	2.119900	0	2.518100	5.497700	1.240000	0	0.500000	0.120000	0
NODE_33_length_71_cov_17.661972	2.730498	4.808514	2.035461	0	0	0	4.120570	0	4.113481	2.028369	0	0.709220	4.099288	3.411349	0.709220	4.794326
NODE_15_length_3555_cov_8.369058	2.536275	3.772970	3.416824	0	0	0	3.852968	0	4.180140	1.460691	0.713654	1.323311	4.436412	4.157791	3.364414	1.897378
NODE_351_length_354039_cov_6.840114.27	2.058200	0.090000	0.800000	0.040000	5.572200	6.073900	0.448600	2.007300	0	2.657200	5.353100	1.579500	0	0.410000	0.160000	0
NODE_295_length_196_cov_4.397959	1.879699	0.375940	1.127819	0	0	0	0.751880	0	0.375940	3.349628	0	0	0	0	0.375940	0.751880
NODE_351_length_354039_cov_6.840114.24	1.516400	0.110000	0.459400	0.119800	6.367400	6.483500	0.230000	2.178100	0	3.107700	5.614200	1.308100	0	0.380000	0.230000	0
NODE_494_length_527700_cov_6.812331.30	1.667500	0.108600	0.808800	0.110000	6.085600	5.568300	0.498600	1.789000	0.030000	2.519300	4.825300	1.620000	0	0.550000	0.179300	0.060000
NODE_494_length_527700_cov_6.812331.11	1.918600	0.040000	0.928800	0.140000	6.045400	6.074700	0.280000	2.287100	0	3.100000	5.454100	1.629400	0	0.329100	0.170000	0
NODE_488_length_174_cov_4.132184	0	0	0.819672	0	0	0	0.819672	0	0	1.639345	1.217214	1.229508	1.229508	0	0.409836	2.848361
NODE_494_length_527700_cov_6.812331.13	1.939000	0.100000	0.597200	0.100000	5.886700	5.386300	0.430000	1.847400	0	2.625100	5.266500	1.750000	0	0.449900	0.189800	0
NODE_179_length_197611_cov_8.217700.18	1.690175	4.424014	3.143655	0	0	0	4.126523	0	4.033596	1.401731	0.445959	1.249590	4.219729	4.927212	3.125106	2.142412
NODE_215_length_160_cov_12.325000	0.434783	0	0	0	0	0.434783	0	0.869565	0	0	0	0	0	0	0	0
NODE_494_length_527700_cov_6.812331.31	1.589800	0.070000	0.660000	0.110000	5.805500	5.871500	0.478900	2.157300	0.050000	2.667600	5.515500	0.989200	0	0.210000	0.150000	0.270000
NODE_203_length_76_cov_60.526318	5.369866	19.890415	12.054799	0	0	0	17.321921	0	12.273976	0.684932	1.369863	5.294522	13.356166	11.849309	9.410949	5.335621
NODE_145_length_320_cov_19.500000	0.256410	0.769231	0.769230	0	0	0	1.282052	0	1.282054	0.256410	0	0.512821	1.538462	1.282051	1.025642	1.282050
NODE_39_length_339592_cov_8.189162.32	1.606754	4.178061	3.060369	0	0	0	3.866342	0	4.529446	1.209746	0.329875	1.000203	4.239093	4.961192	3.003409	1.722867
NODE_39_length_339592_cov_8.189162.31	1.790000	4.595200	2.907200	0	0	0	3.658800	0	4.456900	0.908400	0.190000	0.970000	4.167600	4.598400	2.638000	1.430000
NODE_39_length_339592_cov_8.189162.30	1.664700	4.287000	3.427800	0	0	0	3.999000	0	4.138900	0.888600	0.350000	1.219600	3.917400	4.595500	2.758400	1.788200
NODE_179_length_197611_cov_8.217700.13	2.016800	4.680000	3.658600	0	0	0	3.869200	0	4.288200	1.080000	0.379600	1.199100	3.984600	5.033200	3.259200	1.479000
NODE_473_length_177_cov_4.197740	0	0.404858	0.404858	0	0	0	0.809716	0	0.809717	1.214574	0.404858	0.809716	1.214576	0	1.619434	3.643725
NODE_216_length_305319_cov_6.901228.13	1.570000	0.100000	0.849400	0.020000	5.923700	6.087300	0.450000	1.839300	0	2.746100	5.127800	1.478300	0	0.407600	0.200000	0
NODE_179_length_197611_cov_8.217700.12	1.649000	4.348100	2.878300	0	0	0	3.837500	0	4.047600	0.940000	0.320000	0.880000	3.597800	5.125100	2.779200	1.527800
NODE_439_length_173_cov_4.710983	0.411523	0.411523	1.234568	0	0	0	0	0	0.823045	1.646091	0.411523	0.411523	1.646089	0	0.411523	3.292181
NODE_181_length_136_cov_13.426471	0	0	0	0	2.912617	0.485437	0.485437	0	0	0	0	0.485437	0	0	0	0
NODE_91_length_207_cov_18.405798	3.960291	4.588447	5.364624	0	0	0	7.909747	0	7.906134	1.415162	0.317690	2.527075	5.671486	8.187724	5.339350	7.191334
NODE_216_length_305319_cov_6.901228.17	1.920000	0	0.788900	0.070000	5.934400	6.243700	0.350000	2.187800	0	2.997200	5.687100	1.597500	0	0.320000	0.140000	0
NODE_416_length_130_cov_11.930769	0.500000	1.500000	0	0	0	0	0	0	0.500000	0	0	0	0.500000	0.500000	1.000000	0
NODE_250_length_251161_cov_8.263253.14	1.915400	4.027100	2.698600	0	0	0	3.835600	0	4.455900	0.880000	0.309800	1.249300	4.063600	4.305800	3.147300	1.529100
NODE_216_length_305319_cov_6.901228.18	1.648600	0.060000	1.030000	0.030000	6.373900	5.983000	0.369400	2.067500	0	2.957100	5.305600	1.639700	0	0.408800	0.260000	0
NODE_250_length_251161_cov_8.263253.16	1.748800	4.186100	3.156100	0	0	0	3.846000	0	4.496000	1.020000	0.370000	1.140000	3.796500	4.789200	2.689400	1.288100
NODE_250_length_251161_cov_8.263253.17	1.838400	4.968800	2.887300	0	0	0	4.117200	0	4.066700	0.780000	0.160000	1.299000	3.457500	4.934700	2.787500	1.478600
NODE_250_length_251161_cov_8.263253.10	1.919900	4.167100	3.517000	0	0	0	3.945100	0	4.636400	0.868200	0.250000	1.009100	3.953100	4.725000	2.765300	1.598900
NODE_189_length_174_cov_4.321839	0.819672	1.606556	0	3.249998	0	0	0	0	1.639344	2.049180	0.786885	0	0	0	0.409836	3.688521
NODE_154_length_179_cov_4.055866	1.204818	0.803212	1.144578	0	0	0	0.803213	0	0	0.803212	0.803212	0.803213	1.606428	0	0.401606	2.008032
NODE_216_length_305319_cov_6.901228.19	1.489200	0.060000	0.789400	0.059300	5.847700	5.673100	0.349300	2.247800	0	2.589400	4.973800	1.399400	0	0.319500	0.109800	0
NODE_258_length_263280_cov_8.177872.8	1.749300	4.257600	2.736200	0	0	0	3.995200	0	4.457900	0.790000	0.340000	1.298100	3.845400	4.705600	2.858400	1.465900
NODE_258_length_263280_cov_8.177872.9	1.769200	4.296100	3.147300	0	0	0	4.137400	0	4.515300	0.938000	0.260000	1.009800	3.585200	4.848500	2.557800	1.540000
NODE_250_length_251161_cov_8.263253.18	1.749300	4.225400	2.719000	0	0	0	3.557300	0	3.838200	0.969500	0.240000	1.209900	4.283400	4.674400	2.686900	1.468800
NODE_250_length_251161_cov_8.263253.19	1.549900	4.737800	3.106200	0	0	0	4.256100	0	4.139900	1.089900	0.300000	1.189100	3.638400	4.974700	2.754200	1.509000
NODE_142_length_143_cov_4.307693	2.347418	0.938968	0.469484	0	0	0	0	0	0	1.877934	0.469484	0.469484	0.938967	0	0	3.239432
NODE_258_length_263280_cov_8.177872.23	2.009600	4.475000	2.797900	0	0	0	3.699300	0	3.997400	1.019900	0.229800	1.190000	4.425000	4.655500	2.557500	1.570000
NODE_251_length_169_cov_4.301775	0.836820	1.205020	0.418410	0	0	0	0.418410	0	0	1.673640	0.418410	0	1.673640	0	0	3.347280
NODE_293_length_832_cov_6.325721	3.436805	4.988915	4.101994	0	0	0	4.758316	0	7.283812	1.108646	0.442350	3.092018	5.518847	4.317073	4.529935	1.771619
NODE_307_length_145_cov_4.062069	0.930233	0.930233	0	0	0	0	0	0	0.465116	1.860465	0.465116	0.465116	0.465116	0	0	4.618612
NODE_258_length_263280_cov_8.177872.22	1.587500	4.430000	2.547000	0	0	0	3.675000	0	3.682700	1.038400	0.259100	1.197400	4.221000	4.711200	2.696300	1.485100
NODE_264_length_143_cov_21.937063	3.258214	6.572763	4.211272	0	0	0	3.694837	0	7.469474	2.788731	0.469484	1.408449	6.558678	6.103282	3.286382	1.877936
NODE_52_length_81425_cov_8.175524.5	1.799100	4.058500	2.917400	0	0	0	3.794900	0	4.515400	0.830000	0.319900	1.149100	3.610000	4.836900	2.795100	1.876700
NODE_55_length_1339_cov_15.497386	2.973740	8.009225	5.673529	0	0	0	4.464159	0	7.011358	2.979416	0.780694	2.271114	7.091553	9.486157	5.742373	4.108586
NODE_81_length_150_cov_14.673333	0.909090	0	0.454545	0	0.909091	0.909092	0	0.454545	0	0	0.454545	0	0	0	0	0
NODE_258_length_263280_cov_8.177872.20	2.127100	4.547000	3.562900	0	0	0	4.057100	0	4.187900	0.870000	0.279900	1.097700	3.828400	4.851800	2.767900	1.619200
NODE_11_length_153_cov_12.470589	0	0	0.896862	0	0	0	0.448430	0	0	0	0	0	0.448430	0.896861	0.448430	0.896860
NODE_253_length_113_cov_9.398231	0	2.612021	2.688525	0	0	0	4.158469	0	2.715847	0.502732	0.546448	1.568306	3.683064	2.601093	1.005465	0.546448
NODE_65_length_208_cov_4.009615	1.438848	0.719424	1.064748	0	0	0	0	0	0	3.237408	0.359712	0.719424	1.079138	0	0	1.798559
NODE_141_length_638_cov_7.407524	2.225991	2.683618	2.255650	0	0	0	3.531074	0	4.086158	1.412428	0.562146	1.271186	3.368647	3.090399	3.091805	2.966100
NODE_261_length_321461_cov_8.199894.21	1.805400	4.286400	3.046600	0	0	0	3.627400	0	4.325000	1.020000	0.458500	1.090000	3.967300	4.579500	2.449300	1.796600
NODE_258_length_263280_cov_8.177872.25	2.185768	5.051162	3.523891	0	0	0	4.445614	0	4.461274	1.683220	0.277079	1.168015	4.285320	4.623824	2.877906	2.453180
NODE_361_length_352602_cov_6.831901.30	1.569500	0.040000	0.770000	0.040000	5.999600	6.132200	0.280000	1.979400	0	2.637100	5.394600	1.767500	0	0.300000	0.160000	0
NODE_361_length_352602_cov_6.831901.31	1.838400	0.050000	0.540000	0.100000	6.253200	6.136600	0.459200	2.120000	0	2.849800	5.704100	1.517500	0	0.366500	0.040000	0
NODE_361_length_352602_cov_6.831901.32	1.688800	0.080000	0.859900	0.100000	6.414900	6.384600	0.450000	2.078600	0	2.489300	5.324700	1.300000	0	0.410000	0.080000	0
NODE_258_length_263280_cov_8.177872.24	2.236700	3.798400	3.074000	0	0	0	4.109500	0	4.694100	1.449400	0.409800	1.377100	4.324300	4.688700	2.889700	2.108000
NODE_361_length_352602_cov_6.831901.34	1.790877	0.126262	0.811711	0	6.143394	5.821097	0.425663	2.256236	0	2.641254	5.897182	1.458254	0	0.307370	0.118371	0
NODE_39_length_339592_cov_8.189162.9	1.819500	4.475800	3.288400	0	0	0	4.163000	0	4.216200	1.179500	0.300000	1.260000	4.574900	4.975600	2.908300	1.379700
NODE_39_length_339592_cov_8.189162.8	1.588700	5.058300	3.269100	0	0	0	4.112700	0	4.383500	1.169000	0.369700	1.298600	4.148300	4.437100	2.798000	1.438900
NODE_72_length_153_cov_4.019608	1.345290	0.896861	0.896860	0	0	0	0.448430	0	0.896860	1.345293	0.448430	0.896861	0.448430	0	0.448430	1.753363
NODE_39_length_339592_cov_8.189162.1	1.678100	4.876100	3.108500	0	0	0	3.655500	0	4.206600	1.108700	0.220000	1.079600	3.706700	3.785600	2.797200	1.668000
NODE_39_length_339592_cov_8.189162.0	1.458900	3.807900	2.749400	0	0	0	3.727200	0	4.738900	0.989200	0.258800	1.029900	4.144400	5.286200	2.738500	1.596700
NODE_39_length_339592_cov_8.189162.3	1.735700	4.958500	3.337800	0	0	0	3.977100	0	5.064700	1.009600	0.220000	0.819000	4.028200	4.948200	2.876500	1.428800
NODE_39_length_339592_cov_8.189162.2	1.548700	4.147600	2.964100	0	0	0	3.707200	0	3.937900	0.978100	0.230000	1.199200	4.056200	4.706500	2.549200	1.528300
NODE_39_length_339592_cov_8.189162.5	1.518700	3.918700	2.697800	0	0	0	3.325900	0	4.017300	1.170000	0.370000	1.138900	3.625200	4.558700	2.679200	1.769300
NODE_39_length_339592_cov_8.189162.4	1.527200	3.945800	2.579100	0	0	0	3.519200	0	4.176400	1.209400	0.319600	1.278800	4.796900	4.537600	2.678900	1.767800
NODE_39_length_339592_cov_8.189162.7	1.965900	4.356700	3.275900	0	0	0	3.686700	0	3.937400	0.849500	0.418200	1.169600	4.088200	4.762600	2.756200	1.878100
NODE_39_length_339592_cov_8.189162.6	1.570000	4.527200	3.169100	0	0	0	3.659400	0	4.296700	1.510000	0.340000	1.139600	4.636700	4.713100	2.923900	2.298700
NODE_397_length_204_cov_8.656863	1.456206	2.547445	1.459853	0	0	0	2.507301	0	6.532846	0	0	0.729927	4.744528	3.642333	0.729926	0.364964
NODE_104_length_823_cov_8.356014	10.070548	0	6.152291	0.111982	0	4.245240	6.038073	0	0	0.671892	0.559910	0.895856	5.597985	0	0	2.349386
NODE_259_length_266_cov_4.357143	0.595238	0.595238	1.785712	3.273809	0	0	0.297619	0	0	1.785715	0.595238	0.892856	1.488096	0	0.595238	1.785714
NODE_500_length_1625_cov_5.125538	0.235988	0.584071	0.581120	14.799410	0	0.058997	0.233628	0	0.766962	0.412979	0	0.115044	0.530973	0.467257	0.294985	0.117994
NODE_221_length_149_cov_4.026845	2.283104	0.456621	0.456621	0	0	0	0.456621	0	0.913241	1.826484	0	0	1.826486	0	0	0.456621
NODE_129_length_160323_cov_8.254436.3	2.068200	4.088400	3.216300	0	0	0	3.497000	0	4.158600	0.909900	0.210000	1.279900	4.027500	4.617800	2.846800	1.220000
NODE_129_length_160323_cov_8.254436.2	1.657700	5.155700	3.085500	0	0	0	3.844800	0	4.356100	1.006100	0.230000	1.249200	3.917700	4.536700	2.776400	1.799300
NODE_129_length_160323_cov_8.254436.1	1.659000	4.625200	3.118100	0	0	0	3.915900	0	4.566100	1.078200	0.260000	1.099900	4.136400	4.643400	2.676200	1.618900
NODE_129_length_160323_cov_8.254436.0	1.789700	4.593600	3.675300	0	0	0	4.067000	0	4.866300	0.978100	0.328700	1.250000	3.839400	4.775800	3.009600	1.588900
NODE_129_length_160323_cov_8.254436.7	1.900000	4.544600	2.827400	0	0	0	3.800000	0	4.497900	1.098800	0.239800	1.156600	3.819300	4.916100	2.948100	1.577400
NODE_129_length_160323_cov_8.254436.6	1.809800	5.024800	3.075700	0	0	0	3.827500	0	4.526700	1.199700	0.300000	1.150000	3.697300	4.554400	2.928600	1.987300
NODE_129_length_160323_cov_8.254436.5	1.960000	4.286300	2.966900	0	0	0	4.126900	0	4.233600	1.098700	0.329300	1.079600	4.397100	5.048400	2.667300	1.816500
NODE_129_length_160323_cov_8.254436.4	1.707300	4.678300	2.907500	0	0	0	4.002800	0	4.413800	0.819100	0.239400	1.300000	4.273400	4.597600	2.636600	1.578900
NODE_157_length_58632_cov_8.156433.0	2.278200	4.146500	3.017700	0.010000	0	0.030000	4.039200	0	3.946400	0.928700	0.290000	1.210000	4.405100	4.459300	3.187400	1.509000
NODE_157_length_58632_cov_8.156433.1	2.019100	3.978300	3.075800	0	0	0	3.614500	0	4.099400	1.019100	0.189100	1.030000	3.996600	5.324300	2.678900	1.418600
NODE_129_length_160323_cov_8.254436.9	1.799200	4.309900	2.627600	0	0	0	4.035300	0	4.457300	0.849000	0.340000	1.149600	3.695500	5.424600	3.079000	1.585800
NODE_129_length_160323_cov_8.254436.8	1.778500	4.288600	3.048600	0	0	0	3.538200	0	4.287900	0.939800	0.320000	1.169000	4.138600	4.826400	2.208700	1.819000
NODE_157_length_58632_cov_8.156433.4	1.703082	4.259276	2.890598	0	0	0	3.852154	0	3.968774	0.769329	0.320607	1.074697	3.975562	4.701100	3.059458	1.608706
NODE_258_length_263280_cov_8.177872.17	1.678300	4.754200	3.029000	0	0	0	4.024900	0	4.536100	1.099700	0.489800	0.870000	4.106700	4.387300	3.007800	1.519400
NODE_258_length_263280_cov_8.177872.14	1.740000	4.177800	3.028500	0	0	0	3.665600	0	4.078200	1.217400	0.310000	1.000000	4.126800	4.666700	2.827300	1.525900
NODE_258_length_263280_cov_8.177872.15	1.999200	4.479200	3.106600	0	0	0	3.997300	0	4.496100	0.850000	0.310000	0.998500	3.567400	4.703400	3.248200	1.370000
NODE_388_length_16348_cov_7.850318	1.765500	4.083510	2.995184	0	0	0	3.548790	0	4.449750	0.944026	0.194665	1.151054	3.597028	4.640943	2.679071	1.601413
NODE_505_length_906976_cov_6.853119.45	1.677700	0.040000	0.628800	0.090000	6.362500	6.040900	0.440000	1.868100	0	2.628000	5.374000	1.677300	0	0.490000	0.240000	0
NODE_254_length_191233_cov_8.270398.4	1.598600	4.305700	3.276600	0	0	0	4.377700	0	3.837800	0.899100	0.300000	1.058600	4.116900	4.785700	2.898200	1.508400
NODE_319_length_73_cov_18.027397	0	0	0.699301	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_254_length_191233_cov_8.270398.7	1.969800	4.558000	3.164900	0	0	0	3.754700	0	4.387900	1.028500	0.460000	1.359500	4.426700	4.604500	2.697200	1.649300
NODE_246_length_206288_cov_6.775057.19	1.795635	0.079472	0.788117	0.036679	5.620613	6.077637	0.396870	2.187616	0	2.510636	5.137795	1.606923	0	0.385133	0.140604	0
NODE_246_length_206288_cov_6.775057.18	1.617500	0.090000	0.980000	0.060000	6.303000	6.396800	0.398800	2.126900	0	2.628300	5.746800	1.528600	0	0.330000	0.309700	0
NODE_246_length_206288_cov_6.775057.11	1.707900	0.050000	0.680000	0.079200	5.775100	5.875100	0.400000	2.697500	0	2.679300	4.992500	1.559000	0	0.427900	0.120000	0
NODE_246_length_206288_cov_6.775057.10	1.776300	0.060000	0.709900	0.080000	6.151200	6.399200	0.600000	2.090000	0	3.019800	5.966300	1.567500	0	0.450000	0.159900	0
NODE_246_length_206288_cov_6.775057.13	1.368200	0.040000	0.629100	0.140000	6.364000	5.872900	0.260000	1.919000	0	2.858000	5.215100	1.487900	0	0.409100	0.250000	0
NODE_246_length_206288_cov_6.775057.12	1.770000	0.130000	0.680000	0.020000	5.967900	4.954500	0.420000	1.949200	0	2.205600	5.256300	1.602600	0	0.400000	0.189800	0
NODE_246_length_206288_cov_6.775057.15	1.517700	0.100000	0.668300	0.060000	6.016100	4.997700	0.480000	2.290000	0	2.547800	4.837900	1.620000	0	0.310000	0.149100	0
NODE_246_length_206288_cov_6.775057.14	1.519100	0.040000	0.780000	0.020000	6.066300	6.024000	0.299700	2.318200	0	2.706400	5.514900	1.787700	0	0.280000	0.260000	0
NODE_246_length_206288_cov_6.775057.17	1.458800	0.070000	0.758600	0.040000	5.416100	6.212700	0.360000	2.259200	0	2.927600	5.205300	1.610000	0	0.280000	0.180000	0
NODE_246_length_206288_cov_6.775057.16	1.937400	0.050000	0.710000	0	5.833700	4.857500	0.240000	1.998900	0	2.627600	5.225200	1.320000	0	0.220000	0.180000	0
NODE_494_length_527700_cov_6.812331.14	1.677400	0.020000	0.739900	0.060000	5.616500	4.866500	0.460000	2.086400	0	2.627400	5.332900	1.348400	0	0.390000	0.320000	0
NODE_75_length_635_cov_16.266142	3.792913	6.086524	6.782980	0	0	0	7.357445	0	7.358864	0.984398	0.409929	1.418440	7.934754	9.604250	5.643972	4.093621
NODE_494_length_527700_cov_6.812331.16	1.849200	0.020000	0.649600	0.110000	6.933200	5.363300	0.329400	1.827300	0	2.926100	5.675300	1.469000	0	0.249700	0.100000	0
NODE_494_length_527700_cov_6.812331.17	1.819100	0.040000	0.797400	0.090000	6.453200	5.195200	0.460000	1.900000	0	2.585100	5.213000	1.468400	0	0.420000	0.060000	0
NODE_494_length_527700_cov_6.812331.10	1.650000	0.030000	0.919000	0.039200	6.354700	5.353300	0.340000	2.240000	0	2.749100	5.010200	1.589800	0	0.300000	0.218900	0
NODE_254_length_191233_cov_8.270398.3	1.997000	4.448200	2.728100	0	0	0	4.124900	0	4.576300	0.949700	0.480000	1.028700	4.744900	4.926300	2.487000	1.609700
NODE_394_length_1280_cov_15.627344	3.107408	7.679252	4.571856	0	0	0	6.442964	0	8.134069	1.185186	0.592592	2.073332	6.592587	9.321482	5.472595	3.403699
NODE_342_length_143_cov_4.062937	0.938968	0.469484	0.469484	0	0	0	0.938967	0	0	1.408452	0	0	1.408450	0	0.469484	3.755864
NODE_217_length_21883_cov_8.243248.0	1.746500	4.634400	3.538500	0	0	0	4.547100	0	4.313400	1.050000	0.280000	1.198800	4.096800	4.626200	3.008900	1.847800
NODE_217_length_21883_cov_8.243248.1	1.405505	4.039071	2.976577	0	0	0	4.415552	0	4.889401	1.003933	0.317912	1.238183	4.048273	4.917927	2.841878	1.479962
NODE_494_length_527700_cov_6.812331.18	1.758500	0.080000	0.550000	0.020000	6.224400	5.535700	0.380000	1.829100	0	3.156900	5.214400	1.408000	0	0.290000	0.310000	0
NODE_494_length_527700_cov_6.812331.19	1.867300	0.099300	0.898700	0.060000	6.663100	5.791600	0.390000	2.047700	0	2.658700	5.837400	1.536700	0	0.370000	0.159400	0
NODE_254_length_191233_cov_8.270398.18	1.882509	4.382906	3.174469	0	0	0	4.081393	0	4.119083	1.335573	0.353712	1.237460	4.322480	4.898871	2.704239	1.449438
NODE_250_length_251161_cov_8.263253.7	1.828100	3.647100	3.228000	0	0	0	3.927800	0	3.967300	0.759000	0.240000	1.038900	3.747800	4.971600	2.737800	1.558500
