contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_146_length_380_cov_65.507896	13.324447	27.822225	22.328889	0	0	0	22.417782	0	30.539999	6.837782	1.753332	6.197782	28.953321	32.553330	19.846663	9.728890
NODE_64_length_358694_cov_6.830965.27	1.889200	0.040000	0.829000	0.020000	5.835300	5.967500	0.230000	1.946500	0	2.519500	5.364800	1.489400	0	0.350000	0.250000	0
NODE_89_length_1295_cov_4.794595	1.831499	4.391209	2.778753	0	0	0	3.578755	0	3.871063	1.315751	0.293040	1.605863	4.904764	4.684986	2.049084	1.679853
NODE_64_length_358694_cov_6.830965.21	1.667600	0.020000	0.680000	0.050000	6.308700	5.521600	0.459100	1.948300	0	2.718800	5.414800	1.490000	0	0.360000	0.259700	0
NODE_64_length_358694_cov_6.830965.22	1.896800	0.100000	0.978800	0.058700	5.848300	5.837600	0.350000	1.806000	0	3.167800	6.222300	1.579000	0	0.219400	0.140000	0
NODE_64_length_358694_cov_6.830965.23	1.759400	0.080000	0.709900	0.080000	6.218400	5.562600	0.430000	2.208100	0	2.658500	5.454700	1.508700	0	0.290000	0.070000	0
NODE_505_length_906976_cov_6.853119.52	1.609000	0.020000	0.779300	0.060000	6.135600	5.795700	0.500000	1.927200	0	3.058200	5.689700	1.270000	0	0.448400	0.150000	0
NODE_64_length_358694_cov_6.830965.28	2.039100	0.080000	0.649900	0.080000	6.034100	6.073400	0.499900	2.339000	0	2.696700	5.187900	1.300000	0	0.460000	0.110000	0
NODE_64_length_358694_cov_6.830965.29	2.017600	0.060000	0.859800	0.060000	6.324400	5.724800	0.360000	2.179200	0	2.349300	5.585400	1.560000	0	0.450000	0.170000	0
NODE_4_length_463_cov_71.041039	12.465288	27.729840	19.204507	0	0	0	26.545958	0	30.283292	5.917450	1.868666	6.913701	25.290806	29.724205	17.416511	8.782369
NODE_300_length_83_cov_12.469879	0	0	0	0	0	0.653595	0	0	0	0.653595	0	0	0	0	0	0
NODE_258_length_263280_cov_8.177872.18	1.519100	4.464000	2.978500	0	0	0	3.898900	0	4.949100	1.189000	0.229400	1.228500	3.816000	4.535600	3.028900	1.938700
NODE_494_length_527700_cov_6.812331.2	1.708900	0.050000	0.660000	0.090000	6.438700	5.582500	0.509400	1.919400	0	2.288300	5.253900	1.635200	0	0.370000	0.040000	0
NODE_123_length_75191_cov_8.369140.6	1.742416	4.376707	2.993184	0	0	0	3.517396	0	4.631677	1.145208	0.327174	1.113033	3.914684	5.303516	3.077910	1.578730
NODE_123_length_75191_cov_8.369140.5	1.797500	4.884600	2.878900	0	0	0	3.985500	0	4.537900	1.029800	0.260000	1.079200	3.706100	5.045200	2.818900	1.447500
NODE_123_length_75191_cov_8.369140.4	1.840000	4.207700	3.150000	0	0	0	4.287100	0	3.829400	1.267000	0.280000	1.177000	3.937600	4.249200	2.878600	1.467400
NODE_123_length_75191_cov_8.369140.3	2.008600	5.351000	2.967600	0	0	0	4.127500	0	4.587700	0.750000	0.419400	1.409900	4.025900	4.835200	2.819000	1.469100
NODE_123_length_75191_cov_8.369140.2	2.016100	4.105200	3.035800	0	0	0	4.185900	0	4.497800	1.206900	0.279700	1.199900	4.267200	4.745700	2.583000	2.016500
NODE_123_length_75191_cov_8.369140.1	1.888500	4.379200	2.776400	0	0	0	3.807100	0	4.437000	1.139900	0.310000	1.300000	4.367500	5.018100	3.088900	1.509000
NODE_123_length_75191_cov_8.369140.0	1.599100	4.026600	2.965600	0	0	0	3.687900	0	4.516100	1.219200	0.430000	1.259300	4.096900	4.395800	2.675800	1.577300
